Placa,Grupo,Modelo_Original,Modelo_Padrao,Modelo_Simplificado
ACX8999,Pesado,DUCATO CARGO 2.8 CURTO/LONGO TB DIESEL,FIAT DUCATO,FIAT DUCATO
ASU8677,Kombi,KOMBI FURGÃO 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
AXA7630,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
AXH4H84,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
AXV6J76,Kombi,KOMBI STANDARD 1.4 MI TOTAL FLEX 8V,VW KOMBI,VW KOMBI
BAJ7268,Caminhão4.2Ton,8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160,CAMINHÃO 3/4
BAJ7269,Caminhão4.2Ton,8-160 E DELIVERY 2P (DIESEL)(E5),VW 8  160,CAMINHÃO 3/4
BAV9082,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BAV9112,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BBH4B56,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BBS1662,Pesado,SPRINTER 311 STREET STD. 2.2 16LUG. DIES,MB SPRINTER,MB SPRINTER
BBV7271,Pesado,SPRINTER 313 FURGÃO LONGO 2.2 129CV DIES,MB SPRINTER,MB SPRINTER
BBW0C96,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BBX3631,Pesado,SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER,MB SPRINTER
BCC9492,Leve,GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,VW GOL
BCC9519,Leve,GOL 1.0 TREND/ POWER 8V 4P,VW GOL 1 0,VW GOL
BCH3095,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BCI3G04,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCJ2731,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCJ7J75,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCJ9B46,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCN5C73,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN5C75,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN5C76,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN5C78,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCN8I58,Pesado,SPRINTER 313 VAN STREET STD. 16L. DIES.,MB SPRINTER,MB SPRINTER
BCN9F78,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BCO1B96,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BCP6661,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCQ3258,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCQ3293,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCQ7135,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7150,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7154,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7156,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7158,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCQ7519,Pesado,DUCATO CARGO CURTO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BCQ7B44,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCQ7B49,Pesado,SPRINTER 415 VAN STANDARD T.A. 2.2 DIES.,MB SPRINTER,MB SPRINTER
BCQ7B53,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCQ7B55,Pesado,SPRINTER 415 FURGÃO LON.T.ALTO 2.2 DIES,MB SPRINTER,MB SPRINTER
BCS8D11,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCS8D34,Pesado,DUCATO CHASSI 2.3 16V DIESEL,FIAT DUCATO CHASSI,FIAT DUCATO
BCS8D41,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BCS8D48,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BCS8E03,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCS8F03,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCS8F15,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BCS8J35,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BCT9F37,Pesado,DUCATO CARGO MÉDIO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BCV8D45,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BCV8D47,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BCV9J79,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO TRUCK
BCX6C13,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BCY4D22,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCY4D56,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BCY5F19,Caminhão12Ton,CARGO 2423 E 6X2 TURBO 2P (DIESEL)(E5),FORD CARGO 2423,CAMINHÃO BITRUCK
BCY8C39,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BCY8J01,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCY8J02,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCY8J17,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BCY8J18,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ3J21,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BCZ3J22,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ3J23,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ7B03,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BCZ8J97,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
BDC6I45,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC6I49,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC6I51,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC7G72,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDC9J75,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J76,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDC9J78,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J79,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J82,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J83,Pesado,MASTER 2.3 DCI FURGÃO 16V DIESEL,RENAULT MASTER CURTA,RENAULT MASTER
BDC9J85,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDC9J86,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD0B32,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD0B37,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDD0B38,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDD3B63,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD3B65,Pesado,MASTER 2.3 DCI EXTRA FURGÃO 16V DIESEL,RENAULT MASTER,RENAULT MASTER
BDD3B67,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD3B68,Pesado,MASTER 2.8 FURGÃO 85CV DIESEL CURTO,RENAULT MASTER,RENAULT MASTER
BDD3B71,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD3B73,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD4A12,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDD4A14,Leve,GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VW GOL 1 6,VW GOL
BDD6E16,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BDD6E20,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BDD6F94,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDD6J41,Moto,CG 160 FAN ESDI FLEXONE,CG 160,MOTO CG
BDE1E73,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDE2G99,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE2H14,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE2H17,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE2H29,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDE6J88,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDF4I79,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDF6H37,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDF6H38,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDF6H45,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDI3D70,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDI5H52,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDI6I13,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BDI9G34,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDK7C03,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
BDL4B04,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDL9G03,Leve,UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,FIAT UNO
BDM6A46,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDN7J86,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDN7J89,Leve,GOL 1.6 MSI FLEX 8V 5P,VW GOL 1 6,VW GOL
BDN9C56,Caminhão4.2Ton,CARGO 816 E/816 S TURBO 2P (DIESEL)(E5),FORD CARGO 816 S,CAMINHÃO 3/4
BDN9H23,Pesado,S10 PICK-UP LS 2.4 F.POWER 4X2 CS,GM S10,GM S10
BDO4A59,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BDP9A84,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
BDQ7G14,Leve,UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,FIAT UNO
BDQ7J83,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BDQ8A27,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BDQ8B16,Leve,ONIX HATCH LT 1.0 12V FLEX 5P MEC.,GM ONIX,GM ONIX
BDS2F92,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2F96,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2G17,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2G23,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2G31,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2G43,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2G79,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H24,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H51,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H55,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H58,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H60,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H62,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2H70,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS2I16,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BDS4A75,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BDU5G74,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
BDU5G85,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
BDU5G86,Caminhão12Ton,24-280 E CONSTEL. 6X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
BDU6J33,Caminhão5Ton,9-170 DELIVERY 2P (DIESEL)(E5),VW 9 170,CAMINHÃO 3/4
BDV5E04,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BDV6G76,Pesado,HR 2.5 TCI DIESEL (RS/RD),HY HR,HY HR
BDV6G78,Pesado,HR 2.5 TCI DIESEL (RS/RD),HY HR,HY HR
BDW0J50,Moto,CG 160 START,CG 160,MOTO CG
BDW3F49,Pesado,DUCATO MAXICARGO 2.3 16V DIESEL,FIAT DUCATO,FIAT DUCATO
BDW3F61,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BDW3F64,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BDW4F10,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDW4F13,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDW4F16,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BDX9F69,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BDX9F70,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BDY7I29,Caminhão12Ton,24-280 E CONSTEL. 6X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
BEA1I66,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BEA9E56,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BEA9E63,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BEB5D58,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BEB5D72,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BEB5D94,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BEB5D96,Leve,VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,VW VOYAGE
BEB7C51,Pesado,S10 PICK-UP LTZ 2.5 FLEX 4X2 CD,GM S10,GM S10
BEB7C52,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BEB7C54,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BEB7C55,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BEB7C66,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BEB7C69,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEB7C70,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEB7C71,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEB7C73,Médio,FIORINO FURGÃO WORK. HARD 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEB9E20,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BED3G62,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BEE5H50,Leve,ONIX HATCH JOY 1.0 8V FLEX 5P MEC.,GM ONIX,GM ONIX
BEE6B29,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEE8B91,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEF0E36,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEF0E38,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEF6F72,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEF9E74,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEF9E75,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEG1F33,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEG6D98,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEG7J06,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
BEH4A83,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEH4A84,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEH4A85,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEH8F17,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEH9B88,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BEH9G97,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEI1I51,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEJ7J54,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
BEJ9B74,Pesado,S10 PICK-UP LT 2.8 TDI 4X4 CD DIESEL AUT,GM S10 LT,GM S10
BEK3H44,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEK3H46,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEK3H48,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEO4E39,Caminhão17Ton,30-280 CONSTELLATION 8X2 2P (DIESEL)(E5),VW 30 280,CAMINHÃO BITRUCK
BEO6I93,Caminhão12Ton,24-280 E CONSTEL. 8X2 2P (DIESEL)(E5),VW 24 280,CAMINHÃO TRUCK
BEP1I21,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEP1I25,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEP1I29,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEP1I40,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEP1I42,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEP1I43,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEP5J81,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
BEP5J86,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
BEP9C20,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BEQ2A54,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEQ2A59,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEQ2I34,Leve,GOL 1.0 FLEX 12V 5P,VW GOL 1 0,VW GOL
BER8D99,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
BER8E07,Médio,STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,FIAT STRADA
BET7D67,Pesado,MASTER 2.3 DCI GRAND FURGÃO16V DIESEL,RENAULT MASTER,RENAULT MASTER
BET9B48,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BET9B50,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BET9B51,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BET9B75,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BET9B76,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BET9C52,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BET9D01,Médio,STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,FIAT STRADA
BEU4B13,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEU4B15,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEU4B17,Médio,SAVEIRO ROBUST 1.6 TOTAL FLEX 8V,VW SAVEIRO,VW SAVEIRO
BEW7E14,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1016,CAMINHÃO 3/4
BEX2E95,Caminhão5.5Ton,ACCELO 1016 2P (DIESEL) (E5),MB ACCELO 1017,CAMINHÃO 3/4
BEX5B97,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5B98,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C01,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C02,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C03,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C04,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C07,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C08,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C09,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C10,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
BEX5C13,Médio,FIORINO ENDURANCE EVO 1.4 FLEX 8V 2P,FIAT FIORINO,FIAT FIORINO
