Modelo_Original,Modelo_Padrao,Grupo
SPRINTER 417 CHASSI L.T.B. DIES. (E6),MB SPRINTER CHASSI,Pesado
SPRINTER 417 FURGÃO CURTO T.B. DIE. (E6),MB SPRINTER,Pesado
SPRINTER 417 FURGÃO EXT. L.T.A DIE. (E6),MB SPRINTER,Pesado
SPRINTER 417 FURGÃO L.T.A. DIESEL (E6),MB SPRINTER,Pesado
SPRINTER 515 FURGÃO E.L.T. ALTO 2.2 DIE.,MB SPRINTER,Pesado
SPRINTER 516 FURGÃO E.L.T. ALTO 2.2 DIES,MB SPRINTER CHASSI,Pesado
SPRINTER 517 F. EXT. L. T.A. DIE. (E6),MB SPRINTER,Pesado
SPRINTER 517 F. EXT. L.P.T.A. DIE. (E6),MB SPRINTER,Pesado
STRADA ENDURANCE 1.3 FLEX 8V CS,FIAT STRADA,Médio
STRADA ENDURANCE 1.3 FLEX 8V CS PLUS,FIAT STRADA,Médio
STRADA ENDURANCE 1.4 FLEX 8V CD,FIAT STRADA,Médio
STRADA ENDURANCE 1.4 FLEX 8V CS PLUS,FIAT STRADA,Médio
STRADA FREEDOM 1.3 FLEX 8V  CS PLUS,FIAT STRADA,Médio
STRADA FREEDOM 1.3 FLEX 8V CD,FIAT STRADA,Médio
STRADA WORKING HARD 1.4 FIRE FLEX 8V CS,FIAT STRADA,Médio
UNO ATTRACTIVE 1.0 FIRE FLEX 8V 5P,FIAT UNO,Leve
UNO DRIVE 1.0 FLEX 6V 5P,FIAT UNO,Leve
VIRTUS TSI 1.0 FLEX 12V 4P AUT.,VW VIRTUS,Leve
VM 290 6X2 2P (DIESEL) (E6),VOLVO VM 290,Caminhão12Ton
VM 330 8X2 2P (DIESEL) (E5),VOLVO VM 330 8X2R,Caminhão17Ton
VOYAGE 1.0 FLEX 12V 4P,VW VOYAGE,Leve
VOYAGE 1.6 MSI FLEX 8V 4P,VW VOYAGE,Leve
TRANSIT FURGÃO 2.0 LONGO TURBO DIESEL,FORD TRANSIT,Pesado
